pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,disc_year,discoverymethod,sy_dist
"Kepler-1167 b","Kepler-1167",1.00393373900,1.71000000,3.57000000,1419.00,2016,"Transit",820.90500000
"Kepler-1740 b","Kepler-1740",8.17240047500,3.32321414,11.00000000,858.00,2021,"Transit",1061.77000000
"Kepler-1581 b","Kepler-1581",6.28385491000,0.80000000,0.43700000,1108.00,2016,"Transit",493.17500000
"Kepler-644 b","Kepler-644",3.17391710300,3.15000000,10.10000000,1655.00,2016,"Transit",1318.05000000
"Kepler-1752 b","Kepler-1752",56.35850143000,4.54060463,18.70000000,419.00,2021,"Transit",962.88800000
"Kepler-280 c","Kepler-280",4.80709100000,2.01000000,4.70000000,1088.00,2014,"Transit",780.36100000
"Kepler-1208 b","Kepler-1208",11.08507637000,2.32000000,5.99000000,665.00,2016,"Transit",825.17600000
"Kepler-263 c","Kepler-263",47.33277300000,2.47000000,6.66000000,386.00,2014,"Transit",754.74700000
"Kepler-1101 b","Kepler-1101",81.31510590000,2.47000000,6.66000000,393.00,2016,"Transit",742.47300000
"HD 168746 b","HD 168746",6.40400000000,11.10000000,85.81410000,900.00,2002,"Radial Velocity",41.56810000
"TOI-2406 b","TOI-2406",3.07668910000,2.86000000,15.60000000,449.00,2021,"Transit",55.41900000
"HD 18599 b","HD 18599",4.13743540000,2.60000000,24.10000000,863.00,2022,"Transit",38.56530000
"Kepler-560 b","Kepler-560",18.47764449000,1.72000000,3.61000000,298.00,2016,"Transit",109.30800000
"Kepler-150 d","Kepler-150",12.56093000000,2.79000000,8.20000000,734.00,2014,"Transit",891.09200000
"Kepler-498 b","Kepler-498",9.61375356000,3.03000000,9.43000000,931.00,2016,"Transit",938.84400000
"Kepler-817 b","Kepler-817",3.99010622900,9.03000000,60.20000000,1124.00,2016,"Transit",1484.46000000
"Kepler-937 b","Kepler-937",67.66882700000,3.72000000,13.40000000,495.00,2016,"Transit",1571.46000000
"K2-10 b","K2-10",19.30553000000,3.77300000,25.20000000,649.00,2015,"Transit",272.36000000
"Kepler-571 b","Kepler-571",4.79859938800,2.64000000,7.46000000,978.00,2016,"Transit",723.87500000
"Kepler-1458 b","Kepler-1458",47.98727640000,2.76000000,8.05000000,493.00,2016,"Transit",544.45000000
"Kepler-1600 c","Kepler-1600",7.29804992700,1.94206512,4.43000000,786.00,2021,"Transit",1030.81000000
"Kepler-221 d","Kepler-221",10.04156000000,2.73000000,3.61000000,712.00,2014,"Transit",385.23100000
"Kepler-626 b","Kepler-626",14.48585199000,2.29000000,5.86000000,784.00,2016,"Transit",635.64300000
"Kepler-1549 b","Kepler-1549",214.88654500000,2.57000000,7.13000000,286.00,2016,"Transit",803.05200000
"K2-62 c","K2-62",16.19697000000,1.99000000,4.62000000,495.00,2016,"Transit",112.46700000
"Kepler-1149 b","Kepler-1149",3.73089898000,1.44000000,2.67000000,1128.00,2016,"Transit",1217.73000000
"Kepler-1288 b","Kepler-1288",2.76122421000,1.12000000,1.46000000,2017.00,2016,"Transit",814.07800000
"Kepler-128 b","Kepler-128",15.00000000000,1.42100000,3.79000000,968.00,2013,"Transit",396.37900000
"Kepler-1245 b","Kepler-1245",4.35409304000,1.44000000,2.67000000,1043.00,2016,"Transit",805.93600000
"Kepler-1068 b","Kepler-1068",16.92344113000,3.63000000,12.80000000,702.00,2016,"Transit",1473.61000000
"Kepler-150 e","Kepler-150",30.82655700000,3.12000000,9.91000000,544.00,2014,"Transit",891.09200000
"Kepler-272 c","Kepler-272",6.05734200000,1.79000000,97.80000000,947.00,2014,"Transit",889.60800000
"Kepler-152 c","Kepler-152",88.25505500000,2.39000000,6.30000000,326.00,2014,"Transit",441.09000000
"Kepler-1506 b","Kepler-1506",14.03291540000,1.32000000,2.30000000,783.00,2016,"Transit",2366.02000000
"CoRoT-3 b","CoRoT-3",4.25680000000,11.32000000,6883.91000000,1695.00,2008,"Transit",768.77100000
"HD 205739 b","HD 205739",279.80000000000,13.60000000,435.41000000,,2008,"Radial Velocity",92.50870000
"HD 224693 b","HD 224693",26.69040000000,14.00000000,222.48100000,,2006,"Radial Velocity",93.50150000
"HD 16417 b","HD 16417",17.24000000000,5.00000000,22.10000000,,2008,"Radial Velocity",25.39360000
"HD 19994 b","HD 19994",466.20000000000,13.60000000,435.41000000,,2003,"Radial Velocity",22.52420000
"GJ 179 b","GJ 179",2288.00000000000,13.80000000,301.93698665,,2009,"Radial Velocity",12.35600000
"GQ Lup b","GQ Lup",,33.60000000,6356.00000000,2650.00,2004,"Imaging",151.16900000
"HD 37605 b","HD 37605",55.01292000000,13.20000000,854.96270000,,2004,"Radial Velocity",46.78640000
"HD 33283 b","HD 33283",18.19910000000,12.50000000,104.56607000,,2006,"Radial Velocity",89.86230000
"HD 9446 b","HD 9446",30.05200000000,14.00000000,222.47200000,,2009,"Radial Velocity",50.35030000
"HD 134987 c","HD 134987",5000.00000000000,13.90000000,260.00000000,,2009,"Radial Velocity",26.18040000
"HD 110014 b","HD 110014",835.47700000000,12.40000000,3524.59000000,,2009,"Radial Velocity",100.75800000
"HD 79498 b","HD 79498",1807.00000000000,13.60000000,425.89220000,,2011,"Radial Velocity",48.94890000
"HD 45652 b","HD 45652",44.07300000000,14.30000000,137.62039000,,2008,"Radial Velocity",34.85410000
"HIP 79431 b","HIP 79431",111.70000000000,13.40000000,667.41500000,,2009,"Radial Velocity",14.53240000
"GJ 876 b","GJ 876",61.11660000000,13.30000000,723.22350000,,1998,"Radial Velocity",4.67517000
"HD 86226 b","HD 86226",1628.00000000000,14.30000000,143.02350000,176.00,2009,"Radial Velocity",45.68300000
"HD 47186 c","HD 47186",1353.60000000000,13.00000000,111.42000000,,2008,"Radial Velocity",37.45740000
"HD 148156 b","HD 148156",1027.00000000000,13.90000000,270.14400000,,2009,"Radial Velocity",57.12890000
"HD 86226 c","HD 86226",3.98442000000,2.16000000,7.25000000,1311.00,2020,"Transit",45.68300000
"HIP 14810 c","HIP 14810",147.74700000000,13.60000000,416.35730000,,2006,"Radial Velocity",50.48000000
"HIP 14810 b","HIP 14810",6.67389200000,13.00000000,1239.53700000,,2005,"Radial Velocity",50.48000000
"GJ 876 d","GJ 876",1.93778000000,2.51000000,6.83000000,,2005,"Radial Velocity",4.67517000
"GJ 876 e","GJ 876",124.26000000000,3.92000000,14.60000000,,2010,"Radial Velocity",4.67517000
"gam1 Leo b","gam1 Leo",428.50000000000,12.50000000,2790.43000000,,2009,"Radial Velocity",39.88830000
"HD 156411 b","HD 156411",842.20000000000,14.00000000,235.18000000,,2009,"Radial Velocity",56.86550000
"HD 8535 b","HD 8535",1313.00000000000,14.00000000,216.12440000,,2010,"Radial Velocity",55.44010000
"HD 37605 c","HD 37605",2720.00000000000,13.10000000,1013.87770000,,2012,"Radial Velocity",46.78640000
